Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
24;Tie plate and corresponding fuel assembly;A tie plate (15) for a PWR nuclear fuel assembly has at least one positioning hole (29) for receiving and surrounding a positioning pin (31) projecting from a nuclear core plate (7). The positioning hole (29) extends along a central axis (A) and has a maintaining portion (33) and a guiding portion (35). The guiding portion (35) widens radially in each radial direction from the maintaining portion (33) to an end surface (37) of the tie plate (15). The guiding portion (35) is connected to the end surface (37) by a capture contour (39). The capture contour (39) is non-circular and has at least a part (41) of increased radial distance (R3) with respect to the central axis (A).;"FRIEDRICH ERHARD [DE] 
SCHNEIDER MANFRED [DE]";AREVA NP [FR];"EP2184742A1 
EP2184742B1";07.11.2008;"G21C19/20 
G21C3/12 
G21C5/06";"G21C19/20 (EP) 
G21C3/12 (EP) 
G21C3/3315 (EP) 
G21C5/06 (EP) 
Y02E30/30 (EP)";"2010-05-12 
2015-01-07";12.05.2010;40941353
25;STEAM DRYER FOR BOILING WATER-TYPE REACTOR;"In order to ensure the structural integrity of a hood against a load such as pressure exerted from the outside of the hood, the present invention provides a steam dryer for a boiling water-type light-water reactor which ensures the stiffness of the hood without making the hood plate itself thicker, and which avoids lengthening the fabrication time or complicating the fabrication procedure. This steam dryer for a boiling water-type reactor comprises: a hood for guiding, to a steam dryer unit, steam separated by a gas-water separator installed above a reactor core made of a plurality of fuel assemblies disposed inside a nuclear reactor pressure vessel; a support ring; a skirt; and the steam dryer unit having a corrugated plate therein, the steam dryer being characterized in that the hood is made of a first hood plate disposed in the vertical direction, a reinforcing plate mounted on the first hood plate, a second hood plate disposed vertically above the first hood plate and the reinforcing plate, and a side plate disposed between the first hood plate and the steam dryer unit, and the reinforcing plate is formed such that the cross-section thereof is a concavo-convex shape.";"AMANO MASAMICHI [JP] 
KUROITA SHO [JP] 
UCHIYAMA KOJI [JP]";HITACHI GE NUCLEAR ENERGY LTD [JP];EP4550356A1;29.06.2022;"G21C15/00 
G21C15/02 
G21C15/16";"G21C15/00 (EP) 
G21C15/02 (EP) 
G21C15/16 (EP) 
Y02E30/30 (EP)";07.05.2025;04.01.2024;89381902
26;Nuclear fuel assembly tie plate, upper nozzle and nuclear fuel assembly comprising such a tie plate;The nuclear fuel assembly tie plate (22) is formed by intersecting strips (24, 26) delimiting between them tubular guide cells (28) each for allowing a fuel rod (4) to extend through the tie plate (22). The strips (24, 26) delimit between them tubular flow cells (30, 32) separate from the guide cells (28), each flow cell (30, 32) for allowing coolant flow through the tie plate (22). Guide cells (28) and flow cells (30, 32) are arranged at nodes of a lattice defined by a repeating pattern (P) comprising four corner nodes in a square lattice arrangement and a central node at the center of the four corner nodes, with one guide cell (28) at each corner nodes, separated by a pair of parallel spaced strips (24) intersecting a pair of parallel spaced strips (26), said two pairs of strips delimiting a four-walled central flow cell (32) at the center node.;"FRIEDRICH ERHARD [DE] 
UMLAUFT DIETER [DE] 
BLAVIUS DIRK [DE] 
KURZER KLAUS [DE]";AREVA NP [FR];EP2530678A1;20.05.2011;"G21C3/322 
G21C3/33";"G21C3/322 (EP,KR,US) 
G21C3/33 (KR) 
G21C3/3315 (EP,US) 
G21C3/3206 (EP,US) 
G21C3/34 (US) 
G21C3/352 (US) 
Y02E30/30 (EP,US)";05.12.2012;29.11.2012;44661463
27;Systems for aligning and handling fuel rods within a nuclear fuel bundle;In a spent fuel pool of a nuclear power plant, there is provided a system for aligning a nuclear fuel bundle (1100) and handling selected fuel rods within the fuel bundle. The bundle includes water rods, full-length and part-length fuel rods extending through a plurality of fuel spacers provided between top and bottom ends of the bundle, each spacer having a plurality of cells accommodating corresponding fuel and water rods. The system includes a bundle alignment assembly (200) for aligning the fuel rods and water rods, a rod grapple tool (400) to extract selected part-length rods from the bundle, and a fuel rod guide block (300) slidable onto the top end of the bundle for protecting an uppermost fuel spacer of the bundle, and for aligning fuel rods within individual cells of all the fuel spacers in the fuel bundle;"KETCHAM DAVID P [US] 
FULLERTON VERNON JOHN [US] 
SMITH DAVID GREY [US]";GEN ELECTRIC [US];EP1965393A1;28.02.2007;"G21C19/105 
G21C19/26 
G21C3/335";"G21C19/105 (EP,US) 
G21C19/26 (EP,US) 
G21C3/335 (EP,US) 
Y02E30/30 (EP,US)";03.09.2008;28.08.2008;39473341
28;Storage device for storing and/or transporting nuclear fuel assemblies;The device has a set of adjacent housings, each receiving a nuclear fuel assembly. The housing has lateral walls that are partly formed using self-crossed and stacked notch structural assemblies. Each of the structural assembly has a flat bar (22) made of aluminum material. Each of the structural assembly has a tubular section element (20) in which the flat bar is provided at the interior. The element is made of material selected from steel, titanium or alloys of steel or titanium, where the material has a neutron absorbing element. An independent claim is also included for a container for storage and/or transport of nuclear fuel assemblies, comprising a pack.;"ANDRE REGIS [FR] 
FOUSSARD GUILLAUME [FR]";TN INT [FR];"EP1926107A1 
EP1926107B1";27.11.2006;"G21C19/07 
G21F5/012";"G21C19/07 (EP,US) 
G21F5/012 (EP,US) 
Y02E30/30 (EP)";"2008-05-28 
2010-06-30";28.05.2008;38171591
29;Lower nozzle for nuclear fuel assembly for pressurized water reactor;The lower nozzle (10) is of the type comprising an upper end (26) and a lower end (28) for the lower nozzle to rest on a lower core plate (4) of a reactor core and a lateral surface (30) extending along a longitudinal axis (A) from the lower end (28) to the upper end (26). According to one aspect of the invention, the lateral surface (30) comprises a longitudinal segment (32) tapering downwardly progressively and continuously along the longitudinal axis (A) and extending on at least 50% of the height (H) of the lateral surface (30).;"RUDOLPH MATTIAS [DE] 
FRIEDRICH ERHARD [DE] 
HINTERGRAEBER CHRISTIAN [DE] 
LANGE UWE [DE]";AREVA NP [FR];"EP2187402A1 
EP2187402B1";12.11.2008;G21C3/33;"G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2010-05-19 
2012-01-11";19.05.2010;40428179
30;Nuclear fuel assembly low pressure drop top nozzle;A top nozzle (101) is for a fuel assembly (10) of a nuclear reactor. The top nozzle (101) includes a plate portion (102) having a first plurality of apertures (103) structured to receive guide thimbles (18) of the fuel assembly (10) and second and third pluralities of apertures which comprise first and second coolant holes (104,105) structured to provide passage of a coolant fluid therethrough. The first and second coolant holes (104,105) have different first and second cross-sectional shapes, respectively. The top nozzle (101) and plate portion (102) preferably comprise a single-piece casting in which numerous features, such as the first and second holes (104,105) are as-cast, thus reducing production costs. The coolant holes (104,105) preferably comprise a one-eighth-symmetric coolant hole pattern (129). The as-cast nature of the coolant holes (104,105) permits the ligaments (107) between coolant holes (104,105) to be reduced in thickness, thereby increasing coolant flowthrough area and minimizing the pressure drop across the nozzle (101).;"BRASHIER RAYMOND W [US] 
WALTON LEWIS A [US]";WESTINGHOUSE ELECTRIC CORP [US];EP1710809A1;08.04.2005;G21C3/32;"G21C3/14 (EP,US) 
G21C3/30 (KR) 
G21C3/32 (EP,US) 
G21C3/322 (EP,US) 
Y02E30/30 (EP,US)";11.10.2006;11.10.2006;36370988
31;NUCLEAR REACTOR FUEL ASSEMBLY (EMBODIMENTS);The invention relates to the field of nuclear engineering, and more particularly to fuel assemblies for VVER-type nuclear reactors. The present fuel assembly comprises a bundle of fuel elements arranged in a regular triangular pattern with a spacing of 12.2-12.3 mm within spacer grids connected to a central tube, a hexagonal casing connected to a top nozzle and bottom nozzle, and a debris filter. The outside diameter of the cladding of the fuel elements is 0.720-0.733 of the spacing of the pattern, the diameter of the fuel pellets being 7.57-7.60 mm. In a second embodiment, the fuel assembly has a regular triangular pattern with a spacing of 12.60-12.75 mm and a reinforcing structure of spacer grids connected by longitudinal tubes and corner elements, wherein the outside diameter of the cladding of the fuel elements is 0.695-0.710 of the spacing of the pattern, the diameter of the fuel pellets being 7.57-7.60 mm. The invention makes it possible to increase the water-to-uranium ratio of fuel assemblies, reduce the metal requirement of such assemblies, and improve their neutronic characteristics and energy yield.;"AKSENOV PYOTR MIKHAYLOVICH [RU] 
LUZAN YURIY VASIL'YEVICH [RU] 
FILIPPOV VLADIMIR ROMANOVICH [RU]";JOINT STOCK COMPANY TVEL [RU];EP4546371A1;21.06.2022;"G21C3/04 
G21C3/30";"G21C3/04 (EP) 
G21C3/30 (EP) 
G21C3/16 (EP) 
Y02E30/30 (EP)";30.04.2025;28.12.2023;89380331
32;Nuclear fuel assembly for boiling water reactor;This assembly is, of the type comprising a water channel (8) extending along a longitudinal axis (L) and having an upper section (16) of larger cross-section area than a lower section (14) and at least one fuel rod receiving groove (32) extending longitudinally on the outer surface of the lower section (14), fuel rods (4, 6) extending longitudinally and disposed around the water channel (8) and fixing members (24) for fixing at least one fuel rod (4) to the water channel (8) in the at least one groove (32) below the upper section (16). According to one aspect of the invention, the at least one groove (32) extends along the upper section (16) such that a fuel rod (4) received in fixing members (24) is longitudinally extractable or insertable from the upper end side of the fuel assembly.;"DIETRICH MATTHIAS [DE] 
LIEBLER MICHAEL [DE] 
LIPPERT HANS-JOACHIM [DE] 
RINK ROLAND [DE] 
SCHAEFER JENS [DE] 
SCHUBERT THOMAS [DE]";AREVA NP [FR];"EP2107572A1 
EP2107572B1";31.03.2008;"G21C3/16 
G21C3/328";"G21C3/328 (EP,US) 
G21C3/335 (EP,US) 
Y02E30/30 (EP,US)";"2009-10-07 
2011-05-04";07.10.2009;39712121
33;Fuel assembly for boiling water reactor;"A fuel assembly for a boiling water reactor, comprises fuel rods (2), a tie plate (3), a handle device (4), and at least two water rods (7) attached to the tie plate and to the handle device. A plurality of spacers (8a, 8b), define first passages (8') for some of the fuel rods, and second passages (8"") for the water rods. Each water rod comprises a tube part (7a) attached to the tie plate, and a solid part (7b) attached to the handle device. The tube part permits a flow of coolant. The spacers comprise primary spacers (8a) and a secondary spacer (8b). The primary spacers are attached to the tube parts. The tie plate, the water rods, the primary spacers and the handle device form a support structure carrying the weight of the fuel rods. The secondary spacer is positioned at the solid part of the respective water rod.";"HELMERSSON STURE [SE] 
MÅNNSON MARKUS [SE] 
SÖDERLUND ANDERS [SE]";WESTINGHOUSE ELECTRIC SWEDEN [SE];EP3001426A1;24.09.2014;"G21C3/322 
G21C3/33";"G21C3/322 (EP,US) 
G21C3/33 (EP,US) 
G21C3/3225 (EP,US) 
Y02E30/30 (EP,US)";30.03.2016;30.03.2016;51585040
34;NUCLEAR FUEL ASSEMBLY BOTTOM NOZZLE;This bottom nozzle is of the type comprising a perforated plate to allow water to pass through it, the nozzle having lateral faces (24) and at least one anti-debris element (22) positioned on a lateral face (24) to block out debris likely to infiltrate between the bottom nozzle and another adjacent bottom nozzle. According to one aspect of the invention, in the free state, the or each anti-debris element (22) permanently projects from the lateral face (24) on which it is positioned, the or each anti-debris element (22) being elastically deformable so that it can contract towards the lateral face (24) in the event of a force being exerted on the anti-debris element (22) towards the lateral face (24).;ROBIN JEAN-PIERRE [FR];AREVA NP [FR];"EP2297743A2 
EP2297743B1";11.06.2008;"G21C3/32 
G21C3/322 
G21C3/33";"G21C3/3206 (EP,US) 
G21C3/322 (EP,US) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2011-03-23 
2014-09-03";18.12.2009;40343502
35;Apparatus and method for measuring and setting perpendicularity of an upper tie plate of a nuclear fuel bundle;"An apparatus (22) for measuring perpendicularity of an upper tie plate (6) of a nuclear fuel bundle (2) includes a first comb (24) having a first plurality of teeth (40); a second comb (26) having a second plurality of teeth (40), the second comb (26) being parallel to and spaced from the first comb (24); a comb connector (30) that connects the first comb (24) to the second comb (26), the comb connector (30) having a second end extending beyond the first comb (24); a rigid finger (36) provided at the second end of the comb connector (30); a rotatable gage (34) provided on the second comb (26); and a mobile finger (38) operatively connected to the gage (34).";"LINDQUIST STEPHANIE BAKER [US] 
HIGGINS RUSSELL PATRICK [US] 
SMITH DAVID GREY [US] 
WILLIAMS WILLIAM [US] 
APPLE EDWARD G [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP2187403A2 
EP2187403A3";17.11.2008;G21C17/06;"G21C17/06 (EP,US) 
G21C19/10 (EP,US) 
G21C3/33 (EP,US) 
Y02E30/30 (EP)";"2010-05-19 
2012-05-02";19.05.2010;42077001
36;Fuel assembly for a nuclear power boiling water reactor;The present invention concerns a fuel assembly (12) for a nuclear power boiling water reactor. The fuel assembly comprises fuel rods (23). At least 95% of the fuel rods comprise nuclear fuel material in the form of U enriched in 235 U. At least 20% of the fuel rods belong to a first set of fuel rods (41, 32, 26, 9). The fuel rods in this first set comprise both U enriched in 235 U and Th. The first set comprises a first and a second subset of fuel rods (41, 32). The ratio, with regard to weight, between Th and U, in each fuel rod (41) of said first subset, is higher than the ratio, with regard to weight, between Th and U, in each fuel rod (32) of said second subset. The invention also concerns a nuclear power boiling water reactor and a manner of operating such a reactor.;"INSULANDER BJÖRK KLARA [SE] 
ASPHJELL ØYSTEIN [NO]";THOR ENERGY AS [NO];"EP3010025A1 
EP3010025B1";17.10.2014;"G21C3/326 
G21C3/58 
G21C3/62";"G21C3/16 (US) 
G21C3/326 (EP,US) 
G21C3/328 (EP,US) 
G21C3/58 (EP,US) 
G21C3/623 (EP,US) 
G21C7/005 (EP,US) 
G21C7/06 (EP,US) 
G21C3/045 (US) 
Y02E30/30 (EP,US)";"2016-04-20 
2017-10-04";20.04.2016;51730419
37;Metal heat recuperator from industrial furnace fumes has protective covering of perforated refractory steel plates inside central sleeve;A heat recuperator, comprising two concentric sleeves (3, 4) with a gap between them for the passage of cold air which is heated by industrial furnace fumes and recuperated by a collector (2) at the top, has the inner sleeve lined with a protective covering (7) of refractory steel plates (11). The plates are perforated, have a high nickel content and have no contact with the sleeve's active surface. A variant of the design has a protective covering of an aluminum or zircon-based ceramic material.;PRIOUR RENE;PRIOUR RENE [FR];"FR2888314A1 
FR2888314B3";08.07.2005;"F23L15/04 
F27D17/00 
F28D7/10 
F28F19/00 
F28F21/04 
F28F21/08";"F23L15/04 (EP) 
F27D17/00 (EP) 
F28D21/001 (EP) 
F28F19/01 (EP) 
F28F19/02 (EP) 
F28F19/06 (EP) 
F28D7/106 (EP) 
Y02E20/34 (EP) 
Y02P10/25 (EP)";"2007-01-12 
2007-10-05";12.01.2007;37591653
38;NUCLEAR FUEL ASSEMBLY TOP NOZZLE COMPRISING A HOLD-DOWN DEVICE;The top nozzle comprises an intermediate plate (26) axially positioned between an upper plate (24) and a lower plate (22) with being axially movable between an upper position and a lower position, one or several main spring member(s) (28) arranged such as to permanently push the intermediate plate (26) towards the upper plate (24), one or several spring member(s) (30) arranged to push to intermediate plate (26) towards the upper plate (24) when the intermediate plate (26) is located between the lower position and an intermediate position associated to this auxiliary spring member (30), and a preload element (32) associated to each auxiliary spring member (30) with being arranged such that the auxiliary spring member (30) abuts against the upper plate (24) via the preload element (32) when the intermediate plate (26) is located between the intermediate position associated to said auxiliary spring member (30) and the upper position.;"LABARRIERE ERIC [FR] 
STREIT DOMINIK [DE] 
ECKSTEIN DANIEL [DE]";FRAMATOME SA [FR];"EP4323999A1 
EP4323999B1";16.04.2021;G21C3/33;"G21C3/331 (EP) 
G21C3/3315 (EP) 
Y02E30/30 (EP)";"2024-02-21 
2025-02-12";19.10.2022;76641623
